contigs	predictions	scores
k79_12181	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;0.99989;0.99989
k79_73082	2;1239;186801;3085636;186803;841;2763062	0.99876;0.99325;0.98852;0.97983;0.97983;0.69891;0.54715
k79_36541	2;1783272	0.99981;0.99947
k79_36543	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36544	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;0.99992;0.99992;0.99992
k79_48731	2;1239;526524;526525;2810280;2678885;1982626	0.96543;0.96541;0.96539;0.96539;0.96538;0.96538;0.96538
k79_12188	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36545	2;1239;186801;3085636;186803;2316020;46228;471875	1.0;1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999
k79_24365	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;0.99998;0.99998;0.99954;0.99954;0.99954
k79_13	2;201174;1760;85004;31953;1678;216816;1682	0.99999;0.99956;0.99956;0.99956;0.99956;0.99956;0.99956;0.99956
k79_60907	2;1239;186801;3085636;186803;841;2763062	1.0;0.99976;0.99975;0.99974;0.99974;0.99838;0.99829
k79_85264	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12194	2;1239;186801;3085636;186803;841;166486;718255	0.99995;0.99994;0.99994;0.99991;0.99991;0.99959;0.99953;0.99825
k79_36559	2;976;200643;171549;815;909656;376805;667015	1.0;0.99995;0.99995;0.99995;0.99977;0.92879;0.90379;0.90379
k79_12197	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99997;0.99997
k79_85267	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99704
k79_60924	2;1239;186801;186802;216572;1263;1160721	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60929	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24376	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99923;0.99923;0.99923;0.99923;0.99923;0.99923
k79_60930	2;976;200643;171549;815;909656;357276;997877	1.0;1.0;1.0;1.0;1.0;0.99999;0.99971;0.99971
k79_73117	2;976;200643;171549;815;816;246787	1.0;1.0;1.0;1.0;0.9994;0.9994;0.99837
k79_12219	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;0.9999;0.9999;0.99968
k79_36581	2;1239;186801;3085636;186803;841;166486;657315	1.0;1.0;1.0;0.99999;0.99999;0.99946;0.99944;0.98266
k79_85283	2;976;200643;171549;815;816;477666	1.0;0.99986;0.99985;0.99985;0.99985;0.99984;0.99979
k79_24388	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60935	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;0.99997;0.99997;0.99995;0.99995;0.99761;0.99761;0.96164
k79_73125	2;1239;186801;3085636;186803;2719231;29370;1297793	1.0;1.0;1.0;1.0;1.0;0.9999;0.9999;0.9999
k79_24396	2;976;200643;171549;815;909656;357276;997877	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36591	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99935
k79_60941	2;976;200643;171549;2005525;375288;2951805	1.0;0.99996;0.99993;0.99993;0.99938;0.99938;0.99877
k79_73133	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99997;0.99996;0.99996;0.99996;0.99996;0.99996
k79_60942	2;1239	0.99895;0.51748
k79_30	2;1239;186801;3085636;2603322;1348611;1185412	0.99999;0.99997;0.99984;0.9998;0.9998;0.9998;0.9998
k79_48765	2;1239;526524;526525;2810280;2678885;1982626	0.99998;0.99993;0.99959;0.99959;0.99606;0.99605;0.99605
k79_24401	2;976;200643;171549;815;816;820;997890	1.0;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999;0.99999
k79_33	2;200940;3024418;213118;2931039;45654;45656	1.0;0.99983;0.99983;0.99983;0.99983;0.99983;0.99983
k79_36599	2;976;200643;171549;2005525;375288;328812	1.0;0.99995;0.99995;0.99995;0.99964;0.99964;0.99964
k79_60949	2;976;200643;171549;815;816;820;997890	1.0;0.99981;0.99981;0.99981;0.9998;0.9998;0.63722;0.63722
k79_85302	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_38	2;1239;186801;3085636;186803;841;166486;718255	1.0;1.0;1.0;0.99996;0.99996;0.99951;0.99951;0.9995
k79_73136	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60957	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99998;0.99997;0.99997;0.99997;0.99997;0.99997
k79_36610	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99057
k79_85309	2;1239;186801;186802;216572;1263;2564099	1.0;0.99997;0.99938;0.99921;0.99294;0.99262;0.90544
k79_12246	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85310	2;976;200643;171549;815;816;2528203	1.0;0.99997;0.99996;0.99996;0.99995;0.99985;0.99432
k79_58	2;1239;186801;3085636;186803;572511;89014	1.0;1.0;1.0;0.99984;0.99984;0.99984;0.99972
k79_85313	2;1239;186801;3085636;186803;1766253;39491;657317	0.99995;0.9956;0.99529;0.99323;0.99323;0.82355;0.82355;0.64291
k79_48781	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36613	2;1239;526524;526525;2810280;2678885;1982626	1.0;0.99999;0.99998;0.99998;0.99997;0.99997;0.99997
k79_60968	2157;28890;183925;2158;2159;2172;2173;420247	0.99999;0.99999;0.99999;0.99999;0.99999;0.99999;0.99979;0.99979
k79_85314	2;1239;186801;186802;31979;1485;46867	1.0;0.96607;0.96437;0.96398;0.96398;0.96398;0.88738
k79_73148	2;1239;186801;186802;216572;1263;2608920	0.99951;0.99825;0.99824;0.99823;0.99809;0.99808;0.95112
k79_73150	2;201174;1760;85004;31953;1678;216816;1679	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48784	2157;28890;183925;2158;2159;2172;2173;420247	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85319	2;976;200643;171549;2005525;375288;823;999416	0.99999;0.99885;0.99884;0.99884;0.9828;0.9828;0.98273;0.98273
k79_85321	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_60980	2;976;200643;171549;815;816;291644	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_73155	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24436	2;1239;186801;3085636;186803;1766253;39491;657317	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.72716
k79_12265	2;1239;186801;3082720;186804;1870884;1496	1.0;1.0;1.0;0.99991;0.99991;0.99991;0.99991
k79_48792	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_85328	2;1239;186801;186802;216572;216851;853;718252	0.99948;0.9872;0.98601;0.63232;0.6323;0.62971;0.62956;0.62956
k79_67	2;1239;186801;3085636;186803;33042;410072	0.99997;0.99997;0.99996;0.99996;0.99996;0.99969;0.99969
k79_48798	2;1239;186801;186802;216572;216851;2929493	1.0;0.99993;0.99992;0.99973;0.99973;0.99943;0.59723
k79_73	2;1239;526524;526525;2810280;2678885;1982626	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12272	2157;28890;183925;2158;2159;2172;2173;420247	0.99981;0.99981;0.99981;0.99981;0.99981;0.99981;0.99977;0.99977
k79_74	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24448	2;976;200643;171549;815;816;2528203	1.0;0.99999;0.99987;0.99987;0.99982;0.99982;0.99837
k79_12273	2;1239;186801;186802;216572;1263;2608920	1.0;1.0;1.0;1.0;1.0;1.0;0.99999
k79_24450	2;1239;186801;186802;216572;216851;2929494	1.0;0.99997;0.99995;0.94546;0.94538;0.94475;0.94475
