contigs	predictions	scores
k79_36167	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_72326	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36169	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12057	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.99116
k79_48226	2;1239;186801;186802;31979;1485;1522	1.0;0.99999;0.99999;0.99893;0.99859;0.99859;0.99859
k79_24115	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;0.99998;0.99998;0.99997;0.99996;0.99996
k79_72328	2;1239;186801;186802;216572;216851;2929494	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84383	2;1239;186801;186802;216572;2842531;2780922	1.0;0.99735;0.99735;0.99734;0.99731;0.99487;0.99487
k79_24116	2;976;200643;171549;815;816;817;997879	1.0;1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999
k79_36176	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_17	2;1239;186801;186802;216572;216851;853;718252	1.0;1.0;0.99989;0.99938;0.99938;0.99924;0.99912;0.99909
k79_24121	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60288	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48236	2;1239;186801;3085636;186803;841;2763062	1.0;1.0;1.0;1.0;1.0;0.99994;0.99994
k79_84390	2;201174;1760;85007;85025;1817;37329	1.0;0.99998;0.99998;0.99997;0.99997;0.99997;0.99997
k79_36183	2;1239;186801;186802;216572;216851;853;718252	0.99974;0.91163;0.77696;0.76513;0.76311;0.69897;0.69838;0.69838
k79_22	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;0.99999;0.99994
k79_60290	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48239	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36184	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84391	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_12062	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48240	2;74201;203494;48461;1647988;239934;239935;349741	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_24124	2;976;200643;171549;815;816;162156	0.99972;0.99971;0.99971;0.99971;0.9997;0.98769;0.93008
k79_27	2;1239;186801;186802;216572;216851;2929493	1.0;0.9999;0.9999;0.99989;0.99989;0.99989;0.99985
k79_36186	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;1.0;1.0;1.0;0.99998;0.99998;0.99998
k79_24126	2;1239;186801;3085636;186803;2569097;39488	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_36187	2;1239;186801;3085636;186803;2719231;84030	1.0;1.0;0.99999;0.99985;0.99985;0.99971;0.99971
k79_84396	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_60291	2759;7711;40674;9443;9604;9605;9606	0.99991;0.99991;0.99991;0.99991;0.99991;0.99991;0.99991
k79_33	2;1239;186801;3085636;186803;2316020;33039;657313	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_24128	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48254	2;976;200643;171549;171550;239759;2585119	1.0;1.0;1.0;1.0;1.0;1.0;0.97445
k79_12069	2;976;200643;171549;815;909656;821	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_72330	2;976;200643;171549;815;816;820;997890	1.0;1.0;1.0;1.0;1.0;1.0;0.99999;0.99999
k79_12070	2;1239;186801;3085636;186803;33042;410072;470146	1.0;0.99999;0.99999;0.99996;0.99996;0.99971;0.99971;0.99971
k79_72331	2;976;200643;171549;171550;239759;538949	1.0;1.0;1.0;1.0;1.0;1.0;0.99998
k79_48255	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;0.99962;0.99962;0.99962
k79_24129	2;1239;186801;3085636;186803;3342669;45851	1.0;1.0;1.0;1.0;1.0;0.99996;0.99996
k79_40	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;0.99999;0.99999;0.99999;0.99999;0.99999
k79_36193	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;1.0;0.99844;0.99844;0.9984;0.99757;0.99757
k79_12076	2;1239;186801;3085636;186803;572511;89014	1.0;0.99855;0.96568;0.93252;0.93252;0.93156;0.93131
k79_72336	2;1239;186801;3085636;186803;1766253;39491;657318	1.0;0.99999;0.99999;0.99999;0.99999;0.99997;0.99997;0.91668
k79_24135	2;1239;186801;3085636;186803;2316020;46228;471875	0.99893;0.99893;0.99887;0.99882;0.99882;0.9979;0.99763;0.99763
k79_72338	2;1239;186801;3085636;186803;33042;410072;470146	1.0;1.0;1.0;1.0;1.0;0.99488;0.99488;0.99488
k79_12080	2;1239;186801;186802;216572;216851;853;718252	1.0;0.99973;0.99973;0.9973;0.99723;0.99574;0.81191;0.81155
k79_51	2;976;200643;171549;171550;239759;328813;2585117	1.0;0.99909;0.99908;0.99908;0.99908;0.99908;0.98749;0.98749
k79_60292	2;976;200643;171549;815;909656;387090	1.0;0.99999;0.99999;0.99999;0.99998;0.99261;0.99259
k79_84428	2;1239;186801;3085636;186803;841;1261635	0.99987;0.99788;0.99135;0.9676;0.9676;0.806;0.8046
k79_54	2;1239;909932;1843488;909930;33024;33025	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_84430	2;1239;186801;3085636;186803;2719313;208479	1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_48272	2;1239;186801;3085636;186803;33042;410072;470146	1.0;0.99826;0.99822;0.99815;0.99815;0.9708;0.9703;0.9703
k79_36196	2;1224;1236;135622;267893;135575;1874361	1.0;0.99987;0.99987;0.99987;0.99987;0.99987;0.99987
k79_12082	2;1239;186801;3085636;186803;572511;418240;1121115	1.0;1.0;0.99997;0.99994;0.99994;0.99987;0.99976;0.99976
k79_36198	2;1239;186801;186802;216572;1263;657323	1.0;1.0;1.0;0.99998;0.99998;0.99998;0.99998
k79_84431	2;1239;186801;3085636;186803;189330;88431	1.0;1.0;1.0;1.0;1.0;0.99999;0.99997
k79_60301	2;976;200643;171549;2005525;375288;823;435591	1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
k79_59	2;1239;186801;3085636;186803;207244;649756;649757	1.0;1.0;0.99999;0.99999;0.99999;0.99986;0.99985;0.99985
