contigname	ERR011347_ERR011347
k79_12180	11.0673
k79_0	3.05102
k79_48720	4.66667
k79_85260	3.6186
k79_73080	5.38125
k79_24360	6.74303
k79_1	20.4565
k79_85261	5.14286
k79_2	3.74468
k79_73081	3.86335
k79_48721	6.21528
k79_24361	5.17316
k79_3	3.83981
k79_36540	11.6065
k79_85262	13.1927
k79_48722	4.885
k79_24362	4.60538
k79_12181	7.73161
k79_85263	15.5623
k79_24363	4.12565
k79_4	6.57491
k79_12182	9.09836
k79_48723	7.68597
k79_73082	14.5218
k79_12183	5.11336
k79_48724	2.17757
k79_73083	3.32967
k79_36541	7.16445
k79_5	5.25043
k79_36542	4.25253
k79_48725	72.5951
k79_60900	4.15079
k79_73084	6.21108
k79_6	3.77204
k79_73085	6.7
k79_48726	15.5332
k79_73086	3.25
k79_60901	6.85524
k79_60902	3.87611
k79_7	13.5567
k79_73087	3.55556
k79_12184	10.2234
k79_48727	5.32092
k79_60903	6.47107
k79_73088	1.63889
k79_36543	4.89459
k79_48728	6.47009
k79_8	2.66953
k79_60904	4.14773
k79_73089	5.57971
k79_12185	7.05172
k79_48729	5.67357
k79_9	9.33511
k79_12186	4.97315
k79_10	3.15038
k79_73090	9.23052
k79_60905	5.41357
k79_48730	10.7117
k79_11	4.3956
k79_73091	11.0507
k79_12187	4.03436
k79_73092	5.70701
k79_60906	9.40777
k79_36544	6.98888
k79_24364	6.62454
k79_12	6.37336
k79_73093	8.18487
k79_48731	7.53675
k79_73094	8.0
k79_12188	9.58517
k79_73095	5.08621
k79_36545	5.42757
k79_12189	6.27703
k79_48732	5.75042
k79_36546	5.74324
k79_73096	6.65455
k79_48733	3.92708
k79_36547	12.2764
k79_12190	3.00697
k79_48734	5.45856
k79_36548	6.18852
k79_24365	6.56399
k79_12191	13.7643
k79_73097	8.01841
k79_13	24.5592
k79_60907	12.8724
k79_24366	7.15309
k79_36549	6.10583
k79_24367	3.2551
k79_12192	5.30483
k79_60908	5.02538
k79_36550	3.68
k79_48735	10.6561
k79_73098	7.16188
k79_24368	6.94231
k79_14	4.27095
k79_12193	4.85714
k79_60909	2.56164
k79_48736	8.80645
k79_36551	6.10732
k79_60910	5.14085
k79_15	7.23333
k79_36552	8.2723
k79_48737	4.28106
k79_16	17.3462
k79_24369	6.63617
k79_60911	3.43103
k79_36553	3.59794
k79_36554	3.80714
k79_60912	7.14667
k79_85264	13.5712
k79_60913	2.95789
k79_36555	10.4112
k79_48738	4.33854
k79_36556	2.5625
k79_48739	4.92381
k79_60914	27.5455
k79_24370	7.77004
k79_17	6.79644
k79_48740	10.9704
k79_18	7.67347
k79_60915	4.48268
k79_19	4.9
k79_85265	9.41082
k79_48741	5.95198
k79_60916	3.60396
k79_24371	10.5663
k79_36557	12.5448
k79_48742	3.90179
k79_12194	16.3574
k79_73099	10.2254
k79_60917	3.7381
k79_36558	4.14062
k79_73100	2.62025
k79_60918	2.375
k79_48743	5.60793
k79_12195	6.23318
k79_20	5.28369
k79_24372	5.50746
k79_48744	3.42038
k79_60919	2.39352
k79_12196	8.76045
k79_73101	5.98716
k79_21	9.15294
k79_60920	4.05191
k79_48745	5.15473
k79_73102	3.27451
k79_85266	3.98883
k79_24373	6.21617
k79_60921	3.45926
k79_73103	17.9667
k79_36559	11.5763
k79_48746	17.5073
k79_60922	6.33636
k79_24374	5.14599
k79_36560	2.93893
k79_60923	10.5657
k79_12197	8.6333
k79_48747	4.60596
k79_36561	3.50394
k79_48748	3.7619
k79_24375	5.12536
k79_12198	4.00619
k79_73104	7.31701
k79_48749	13.3317
k79_36562	10.1395
k79_12199	3.41379
k79_48750	3.05755
k79_36563	4.52717
k79_48751	7.13131
k79_12200	5.86853
k79_73105	19.8252
k79_85267	9.26089
k79_36564	3.86601
k79_48752	7.30151
k79_73106	1.70103
k79_12201	18.4856
k79_60924	6.96609
k79_36565	4.40541
k79_12202	2.24
k79_36566	4.1371
k79_48753	6.74384
k79_85268	3.90152
k79_73107	5.89103
k79_60925	3.82432
k79_36567	2.88333
k79_12203	7.12915
k79_48754	3.08743
k79_60926	9.27642
k79_36568	7.15079
k79_48755	4.11628
k79_85269	13.4099
k79_36569	5.02222
k79_60927	4.50303
k79_73108	6.53636
k79_85270	3.90511
k79_36570	1.95699
k79_73109	6.77119
k79_12204	6.75401
k79_60928	4.76471
k79_85271	6.58741
k79_36571	4.54
k79_12205	19.6009
k79_85272	3.18868
k79_36572	5.11628
k79_48756	6.77819
k79_12206	4.06736
k79_73110	7.99184
